batch_divisor,nb_hidden,hidden_size,number_of_parameters,lr,seed,epochs_trained,total_power_used,average_power_usage,samples_interval,training_duration,train_loss_reached,train_accuracy_reached,test_loss_reached,test_accuracy_reached
10.0,1.0,64.0,55050,0.001,3460.0,10.0,0.00039856481481481486,15.65562998141067,0.5004215061456264,91.74449515342712,1.6278697848320007,0.657072212298711,0.0,0.0
10.0,1.0,64.0,55050,0.01,3460.0,10.0,0.00043638888888888894,16.95679445223625,0.5010098163418742,92.85300477345784,1.585322666168213,0.7920333246390024,0.0,0.0
10.0,1.0,64.0,55050,0.1,3460.0,10.0,0.0004498148148148148,17.311769216024533,0.49967362048046926,93.43882409731548,2.133273204167684,0.2208499987920125,0.0,0.0
10.0,1.0,128.0,118282,0.001,3460.0,10.0,0.0003748148148148148,14.848429951690823,0.5004514600621935,90.9168496131897,1.6136980255444844,0.6807944377263387,0.0,0.0
10.0,1.0,128.0,118282,0.01,3460.0,10.0,0.0004606944444444444,17.476524235770984,0.500468124907789,94.92112843195598,1.5794557452201843,0.7811722179253896,0.0,0.0
10.0,1.0,128.0,118282,0.1,3460.0,10.0,0.00038032407407407416,14.963489735496148,0.5004173481965694,91.57590397198994,2.268994315465291,0.12661666522423426,0.0,0.0
10.0,3.0,32.0,28618,0.001,3460.0,10.0,0.000404537037037037,15.657283879624304,0.5002531906825864,93.04833881060283,1.6878148118654888,0.5110777715841929,0.0,0.0
10.0,3.0,32.0,28618,0.01,3460.0,10.0,0.0003677777777777778,14.656875383670965,0.5003352405348267,90.39383220672607,1.633786420027415,0.6132277667522431,0.0,0.0
10.0,3.0,32.0,28618,0.1,3460.0,10.0,0.0004725,18.127972465581976,0.5012446642713199,94.06696311632793,2.2643531799316405,0.13151666522026062,0.0,0.0
10.0,3.0,64.0,63370,0.001,3460.0,10.0,0.00038375000000000003,15.043262935066215,0.5004661743887264,91.91804003715515,1.6643283367156982,0.503827773531278,0.0,0.0
10.0,3.0,64.0,63370,0.01,3460.0,10.0,0.00047314814814814816,18.089107696950833,0.5004703529009537,94.25480246543884,1.6299860954284668,0.6546388804912567,0.0,0.0
10.0,3.0,64.0,63370,0.1,3460.0,10.0,0.00038370370370370376,15.095934971024064,0.5003532043613333,91.56494927406311,2.3937522172927856,0.10075555443763733,0.0,0.0
10.0,3.0,128.0,151306,0.001,3460.0,10.0,0.0004006481481481481,15.883654045106558,0.5003859501510945,90.90543087323506,1.6389241854349772,0.4712166657050451,0.0,0.0
10.0,3.0,128.0,151306,0.01,3460.0,10.0,0.0004844444444444444,18.104445523891766,0.501688090667223,96.65845974286397,1.7110288659731545,0.48358888427416485,0.0,0.0
10.0,3.0,128.0,151306,0.1,3460.0,10.0,0.00038236111111111115,14.989110635938863,0.5014674088007444,92.10254335403442,2.4139241218566894,0.1007555549343427,0.0,0.0
10.0,5.0,32.0,30730,0.001,3460.0,10.0,0.00039388888888888893,15.299838112858465,0.5006186851850822,92.7801407178243,1.729197625319163,0.4753833254178365,0.0,0.0
10.0,5.0,32.0,30730,0.01,3460.0,10.0,0.00039958333333333333,15.65782688766114,0.4999784879061197,91.83075014750163,1.6990093151728312,0.5383888781070709,0.0,0.0
10.0,5.0,32.0,30730,0.1,3460.0,10.0,0.0004691666666666666,18.0,0.5003546343600423,93.8997414112091,2.4222364823023477,0.09997222075859706,0.0,0.0
10.0,5.0,64.0,71690,0.001,3460.0,10.0,0.0003923611111111111,15.345074546792127,0.4993349948416798,91.8776437441508,1.695031249523163,0.36248888572057086,0.0,0.0
